FILE NAME,Type,#CD45 TOT,#CD45 LIVE,#CD3 TOTAL,#CD3 LIVE,#CD4 LIVE,#CD8 LIVE
20150908_09-24-16_AX017_TCL_L002_C109_215D1_650_EDv38_nofft.events.csv,"low cd4, clear separation",28560,22537,12117,9791,80,7441
20150908_09-58-20_AX017_TCL_L002_C111_215D1_650_EDv38_nofft.events.csv,"low cd4, clear separation",111091,87990,47641,36217,228,27109
20150908_10-39-00_AX017_TCL_L002_C113_215D1_650_EDv38_nofft.events.csv,"low cd4, clear separation",152048,119302,65348,48784,295,36481
20150908_11-12-55_AX017_TCL_L002_C191_215D1_LOW CD8_650_EDv38_nofft.events.csv,"pure cd4, clear separation",14394,12312,11710,10660,10226,282
20150908_13-02-25_AX017_TCL_L002_C193_215D1_LOW CD8_650_EDv38_nofft.events.csv,"pure cd4, clear separation",9091,7709,7466,6742,6480,164
20150908_13-36-27_AX017_TCL_L002_C195_215D1_LOW CD8_650_EDv38_nofft.events.csv,"pure cd4, clear separation",8355,7055,6903,6223,5972,163
20150908_14-25-35_AX017_TCL_L002_C197_267D1_LOW CD8_650_EDv38_nofft.events.csv,"pure cd4, clear separation",12404,10826,10684,9624,9278,237
20150908_14-58-32_AX017_TCL_L002_C199_267D1_LOW CD8_650_EDv38_nofft.events.csv,"pure cd4, clear separation",3858,3286,3315,2929,2841,63
20150908_15-35-07_AX017_TCL_L002_C248_267D1_LOW CD8_650_EDv38_nofft.events.csv,"pure cd4, clear separation",14717,12441,12637,11053,10739,219
20150911_10-17-32_AX017_TCL_L002_C250_158D8_650_EDv38_nofft.events.csv,"day9, clear separation",11205,10676,9999,9729,3071,5958
20150911_10-50-38_AX017_TCL_L002_C247_158D8_650_EDv38_nofft.events.csv,"day9, clear separation",8481,8038,7557,7329,2302,4485
20150911_11-23-22_AX017_TCL_L002_C245_158D8_650_EDv38_nofft.events.csv,"day9, clear separation",22973,21903,20454,19883,6270,12137
20150911_12-00-25_AX017_TCL_L002_C243_170D8_650_EDv38_nofft.events.csv,"day9, clear separation",2912,2717,2608,2483,428,2016
20150911_12-41-42_AX017_TCL_L002_C241_170D8_650_EDv38_nofft.events.csv,"day9, clear separation",14743,14007,13240,12795,2141,10460
20150911_13-17-07_AX017_TCL_L002_C239_170D8_650_EDv38_nofft.events.csv,"day9, clear separation",11468,10873,10343,10015,1651,8209
20150911_14-18-32_AX017_TCL_L002_C237_267_WO_PhenRed_650_EDv38_nofft.events.csv,"day 4, clear separation, low cd4",2720,1519,1492,508,0,410
20150911_14-52-23_AX017_TCL_L002_C235_267_WO_PhenRed_650_EDv38_nofft.events.csv,"day 4, clear separation, low cd4",1579,680,989,231,0,174
20150911_15-24-57_AX017_TCL_L002_C233_267_WO_PhenRed_650_EDv38_nofft.events.csv,"day 4, clear separation, low cd4",7153,2730,4506,806,1,641
20150912_09-31-50_AX017_TCL_L002_C227_215D5_WO_PhenRed_650_EDv38_nofft.events.csv,"pure cd4, almost no junk",42222,32769,37490,29906,29468,201
20150912_10-12-14_AX017_TCL_L002_C229_215D5_WO_PhenRed_650_EDv38_nofft.events.csv,"pure cd4, almost no junk",77259,58570,71160,55238,54424,388
20150912_11-02-38_AX017_TCL_L002_C231_215D5_WO_PhenRed_650_EDv38_nofft.events.csv,"pure cd4, almost no junk",31143,23446,29118,22416,22165,145
20150912_12-18-12_AX017_GT0_L019_C3817_267CD4POS_DRAQ7FMO_10M_650_EDv38_nofft.events.csv,"pure cd4, clear separation, not dead",21893,21657,19189,19162,19002,138
20150912_12-32-40_AX017_GT0_L019_C3837_267CD4POS_DRAQ7FMO_10M_650_EDv38_nofft.events.csv,"pure cd4, clear separation, not dead",96662,95523,83878,83789,83057,645
20150912_12-46-40_AX017_GT0_L019_C3813_267CD4POS_DRAQ7FMO_10M_650_EDv38_nofft.events.csv,"pure cd4, clear separation, not dead",108744,107615,95769,95674,94885,695
20150921_13-15-16_AX017_GT0_L019_C3844_176784_D0_Bls4C_CD45_4_3_8_DRAQ7_650_EDv38_nofft.events.csv,"day 0, clear separation",21221,20258,12384,12308,9697,2458
20150921_13-29-24_AX017_GT0_L019_C3863_176784_D0_Bls4C_CD45_4_3_8_DRAQ7_650_EDv38_nofft.events.csv,"day 0, clear separation",22299,21294,12993,12926,10273,2503
20150921_13-45-57_AX017_GT0_L019_C3840_176784_D0_Bls4C_CD45_4_3_8_DRAQ7_650_EDv38_nofft.events.csv,"day 0, clear separation",22385,21465,12930,12888,10260,2495
20151028_15-35-20_AX017_TCL_L002_C134_rc_650_EDv38_nofft.events.csv,"day 0, clear separation",3606,3551,2776,2757,1598,1084
20151028_16-30-37_AX017_TCL_L002_C137_rc_650_EDv38_nofft.events.csv,"day 0, clear separation",13185,13002,10030,9959,5601,3984
20151028_17-05-17_AX017_TCL_L002_C139_rc_650_EDv38_nofft.events.csv,"day 0, clear separation",12425,12162,9551,9428,5393,3669
20151028_18-03-41_AX017_TCL_L002_C141_AG_650_EDv38_nofft.events.csv,"day 0, clear separation",44428,43367,31788,31411,22001,7362
20151031_10-53-06_AX017_TCL_L002_C143_lb_650_EDv38_nofft.events.csv,"day 0, clear separation",5414,4477,4024,3405,2628,627
20151031_11-30-28_AX017_TCL_L002_C144_lb_650_EDv38_nofft.events.csv,"day 0, clear separation",3233,2658,2147,1774,1367,309
20151031_13-12-38_AX017_TCL_L002_C148_lb_650_EDv38_nofft.events.csv,"day 0, clear separation",4894,3878,3367,2685,2082,471
20151031_13-47-55_AX017_TCL_L002_C150_ag_650_EDv38_nofft.events.csv,"day 0, clear separation",8238,6931,6197,5523,3938,1285
20160903_01-12-50_AX017_GT0_L019_C3935_170_D0_CD4FMO_650_EDv38_nofft.events.csv,"day 0, clear separation, not cd4",57596,55174,28721,28210,0,16220
20160903_01-31-18_AX017_GT0_L019_C3922_170_D0_CD4FMO_650_EDv38_nofft.events.csv,,62109,59597,31095,30659,0,17477
20160903_01-47-31_AX017_GT0_L019_C3943_170_D0_CD4FMO_650_EDv38_nofft.events.csv,"day 0, clear separation, not cd4",60910,58391,30277,29734,0,17186
20160903_02-06-46_AX017_GT0_L019_C3937_170_D0_CD4FMO_650_EDv38_nofft.events.csv,"day 0, clear separation, not cd4",63017,60414,31184,30761,0,17662
20160903_04-24-43_AX017_TCL_L002_C152_170_D0_CD4_5PERC_650_EDv38_nofft.events.csv,"pure cd4, almost no junk",54567,53370,50327,49761,48293,826
20160903_04-59-44_AX017_TCL_L002_C154_170_D0_CD8_5PERC_650_EDv38_nofft.events.csv,"pure cd4, almost no junk",195799,191911,183224,180959,176202,3364
20160903_05-35-11_AX017_TCL_L002_C156_158_D0_CD4_POS_650_EDv38_nofft.events.csv,"pure cd4, almost no junk",100763,98615,94393,93152,90777,1599
20160903_06-07-41_AX017_TCL_L002_C158_170_D0_CD4_POS_650_EDv38_nofft.events.csv,"pure cd4, almost no junk",28828,28061,27025,26552,25622,738
20160903_06-40-53_AX017_TCL_L002_C160_170_D0_CD4_POS_650_EDv38_nofft.events.csv,"pure cd4, almost no junk",84955,82761,78919,77661,74774,2338
20160903_07-16-09_AX017_TCL_L002_C162_170_D0_CD4_POS_650_EDv38_nofft.events.csv,"pure cd4, almost no junk",45725,44611,42622,42022,40463,1258
20160903_08-11-00_AX017_TCL_L002_C170_158_D0_CD4_NEG_1M_650_EDv38_nofft.events.csv,"pure cd4, almost no junk",3672,3382,1238,1199,145,879
20160903_08-43-36_AX017_TCL_L002_C172_158_D0_CD4_NEG_1M_650_EDv38_nofft.events.csv,"day 0, clear separation",24174,22120,8080,7728,885,5614
20160903_09-16-01_AX017_TCL_L002_C169_158_D0_CD4_NEG_1M_650_EDv38_nofft.events.csv,"day 0, clear separation",23769,21891,8027,7684,907,5558
20160903_09-58-30_AX017_TCL_L002_C171_170_D0_CD4_NEG_10M_650_EDv38_nofft.events.csv,"day 0, clear separation",94251,87809,39594,38173,2510,34418
20160904_11-16-45_AX017_TCL_L002_C175_170_D0_CD4_NEG_1M_650_EDv38_nofft.events.csv,"day 0, clear separation",10248,9321,4364,4044,312,3592
20160904_11-51-47_AX017_TCL_L002_C174_170_D0_CD4_NEG_1M_650_EDv38_nofft.events.csv,"day 0, clear separation",10801,9686,4537,4150,352,3656
20160904_12-28-11_AX017_TCL_L002_C168_170_D0_CD4_NEG_1M_650_EDv38_nofft.events.csv,"day 0, clear separation",7144,6430,3100,2821,240,2493
20160904_13-06-59_AX017_TCL_L002_C103_170_D0_CD4_NEG_10M_650_EDv38_nofft.events.csv,"day 0, clear separation",9318,8518,4288,4041,320,3597
20160904_13-41-14_AX017_TCL_L002_C105_170_D0_CD4_NEG_10M_650_EDv38_nofft.events.csv,"day 0, clear separation",39005,35649,16640,15773,1276,13931
20160904_14-14-04_AX017_TCL_L002_C107_170_D0_CD4_NEG_10M_650_EDv38_nofft.events.csv,"day 0, clear separation",68467,61751,28595,26804,2193,23649
20160906_10-22-29_AX017_GT0_L019_C3910__650_EDv38_nofft.events.csv,"day 0, clear separation, not cd8",7426,6718,5493,5143,3133,10
20160906_10-43-31_AX017_GT0_L019_C3802__650_EDv38_nofft.events.csv,"day 0, clear separation, not cd8",8734,7689,6231,5727,3507,19
20160906_11-00-58_AX017_GT0_L019_C3799__650_EDv38_nofft.events.csv,"day 0, clear separation, not cd8",8092,7142,5796,5349,3283,15
20160906_11-19-23_AX017_GT0_L019_C3961__650_EDv38_nofft.events.csv,"day 0, clear separation, not cd8",7543,7375,5208,5208,3021,1889
20160906_11-57-23_AX017_GT0_L019_C3953__650_EDv38_nofft.events.csv,"day 0, clear separation, not dead",8267,8089,5760,5760,3271,2128
20160906_12-12-09_AX017_GT0_L019_C3917__650_EDv38_nofft.events.csv,"day 0, clear separation, not dead",7960,7791,5496,5495,3175,1973
20160906_13-38-31_AX017_GT0_L019_C3919__650_EDv38_nofft.events.csv,"day 0, hard separation, not cd8",27778,23618,20928,18730,7725,114
20160906_13-52-50_AX017_GT0_L019_C3912__650_EDv38_nofft.events.csv,"day 0, hard separation, not cd8",34117,28921,25847,23059,9528,132
20160906_14-07-14_AX017_GT0_L019_C3941__650_EDv38_nofft.events.csv,"day 0, hard separation, not cd8",28753,25490,22506,20712,8479,107
20160906_14-33-39_AX017_GT0_L019_C3921__650_EDv38_nofft.events.csv,"day 0, hard separation, not cd8",29124,25904,23509,21559,8716,81
20160907_10-56-44_AX017_TCL_L002_C179__650_EDv38_nofft.events.csv,"clear separation, day0",12982,12341,8219,8046,4721,2585
20160907_11-39-24_AX017_TCL_L002_C181__650_EDv38_nofft.events.csv,"clear separation, day0",26854,25548,17186,16921,9796,5523
20160907_12-13-07_AX017_TCL_L002_C183__650_EDv38_nofft.events.csv,"clear separation, day0",21032,20072,13919,13655,7977,4346
20160907_12-52-47_AX017_TCL_L002_C185__650_EDv38_nofft.events.csv,"clear separation, day0",43589,42285,31239,30870,22917,6904
20160907_13-37-41_AX017_TCL_L002_C187__650_EDv38_nofft.events.csv,"clear separation, day0",24237,23423,17263,17114,12748,3782
20160907_14-10-34_AX017_TCL_L002_C189__650_EDv38_nofft.events.csv,"clear separation, day0",43230,41589,30421,30069,22456,6656
20161114_15-39-03_AX017_GT0_L016_C3310_40800F_Lot_20161027_650_EDv38_nofft.events.csv,"day 0, clear separation",54922,54043,39239,38855,24025,11884
20161114_16-41-04_AX017_GT0_L013_C2460_40800F_QC_lot_003_650_EDv38_nofft.events.csv,"day 0, clear separation",57719,56527,41296,40747,25408,12295
20170109_21-34-55_AX017_TCL_L002_C212_21796_650_SP_EDv38TCLv16_nofft.events.csv,"day 0, clear separation",37665,36512,25468,25020,17293,6335
20170109_21-34-55_AX017_TCL_L002_C212_21796_650_SP_EDv38TCLv16_nofft.events.csv,"""=""",37281,36337,25405,24987,17262,6295
20170109_22-15-15_AX017_TCL_L002_C215_21775_650_SP_EDv38TCLv16_nofft.events.csv,"day 0, clear separation",33119,31964,18201,17945,10232,5577
20170109_22-15-15_AX017_TCL_L002_C215_21775_650_SP_EDv38TCLv16_nofft.events.csv,"""=""",32533,31644,18657,18260,10401,5637
20170109_22-50-11_AX017_TCL_L002_C216_21799_650_SP_EDv38TCLv16_nofft.events.csv,"day 0, clear separation",11108,10769,7944,7827,5549,1994
20170109_22-50-11_AX017_TCL_L002_C216_21799_650_SP_EDv38TCLv16_nofft.events.csv,"""=""",11037,10758,8016,7869,5579,1991
20170111_11-48-50_AX017_TCL_L002_C218_20152_650_SP_EDv38TCLv16_nofft.events.csv,"day 0, clear separation",9191,8912,4835,4748,2104,1982
20170111_11-48-50_AX017_TCL_L002_C218_20152_650_SP_EDv38TCLv16_nofft.events.csv,"""=""",9160,8934,4862,4742,2123,1946
20170111_12-33-09_AX017_TCL_L002_C219_20121_650_SP_EDv38TCLv16_nofft.events.csv,"day 0, clear separation",26566,25997,17940,17805,11295,5920
20170111_12-33-09_AX017_TCL_L002_C219_20121_650_SP_EDv38TCLv16_nofft.events.csv,"""=""",26513,26035,18064,17845,11316,5903
20170111_13-07-45_AX017_TCL_L002_C221_20119_650_SP_EDv38TCLv16_nofft.events.csv,"day 0, clear separation",48084,46254,17732,17412,7288,8468
20170111_13-07-45_AX017_TCL_L002_C221_20119_650_SP_EDv38TCLv16_nofft.events.csv,"""=""",48236,46873,17624,17204,7222,8278
20170111_13-45-51_AX017_TCL_L002_C223_20210_650_SP_EDv38TCLv16_nofft.events.csv,"day 0, clear separation",56789,54970,22478,22127,12386,8017
20170111_13-45-51_AX017_TCL_L002_C223_20210_650_SP_EDv38TCLv16_nofft.events.csv,"""=""",57034,55705,22484,21954,12306,7827
20170111_14-18-55_AX017_TCL_L002_C251_20123_650_SP_EDv38TCLv16_nofft.events.csv,"day 0, clear separation",31951,31231,21702,21494,12137,8588
20170111_14-18-55_AX017_TCL_L002_C251_20123_650_SP_EDv38TCLv16_nofft.events.csv,"""=""",31923,31351,21712,21440,12117,8550
20170111_14-51-40_AX017_TCL_L002_C253_20114_650_SP_EDv38TCLv16_nofft.events.csv,"day 0, clear separation",22593,22059,16203,16035,6243,8219
20170111_14-51-40_AX017_TCL_L002_C253_20114_650_SP_EDv38TCLv16_nofft.events.csv,"""=""",22587,22144,16181,15949,6214,8154
20170112_12-10-19_AX017_TCL_L002_C256_23111_650_SP_EDv38TCLv16_nofft.events.csv,"day 0, clear separation",122648,119757,61390,60913,36659,20045
20170112_12-10-19_AX017_TCL_L002_C256_23111_650_SP_EDv38TCLv16_nofft.events.csv,"""=""",123078,121010,61427,60714,36622,19910
20170112_12-44-44_AX017_TCL_L002_C257_22172_650_SP_EDv38TCLv16_nofft.events.csv,"day 0, clear separation",47152,45805,16793,16576,11528,4711
20170112_12-44-44_AX017_TCL_L002_C257_22172_650_SP_EDv38TCLv16_nofft.events.csv,"""=""",46778,45877,16824,16497,11503,4661
20170112_13-19-52_AX017_TCL_L002_C259_22156_650_SP_EDv38TCLv16_nofft.events.csv,"day 0, clear separation",117063,113738,57935,57379,39737,16423
20170112_13-19-52_AX017_TCL_L002_C259_22156_650_SP_EDv38TCLv16_nofft.events.csv,"""=""",116353,113965,57531,56835,39656,15967
20170112_13-53-52_AX017_TCL_L002_C261_22174_650_SP_EDv38TCLv16_nofft.events.csv,"day 0, clear separation",27021,26446,17533,17416,12089,4714
20170112_13-53-52_AX017_TCL_L002_C261_22174_650_SP_EDv38TCLv16_nofft.events.csv,"""=""",26873,26485,17492,17346,12063,4678
20170112_14-31-02_AX017_TCL_L002_C263_23124_650_SP_EDv38TCLv16_nofft.events.csv,"day 0, clear separation",62812,60922,27473,27164,13894,11803
20170112_14-31-02_AX017_TCL_L002_C263_23124_650_SP_EDv38TCLv16_nofft.events.csv,"""=""",62404,61057,27422,26998,13858,11715
20170112_15-04-10_AX017_TCL_L002_C265_22158_650_SP_EDv38TCLv16_nofft.events.csv,"day 0, clear separation",177059,173983,139206,138326,48798,72721
20170112_15-04-10_AX017_TCL_L002_C265_22158_650_SP_EDv38TCLv16_nofft.events.csv,"""=""",176827,174438,138811,137723,48534,72132
20170120_10-03-35_AX017_GT0_L016_C3459_28227_d0_650_EDv38TCLv16_nofft.events.csv,"day 0, clear separation",111502,101511,39469,38372,21775,14753
20170120_10-03-35_AX017_GT0_L016_C3459_28227_d0_650_EDv38TCLv16_nofft.events.csv,"""=""",110779,107455,40004,38440,21796,14720
20170120_10-29-04_AX017_GT0_L016_C3455_32063_d0_650_EDv38TCLv16_nofft.events.csv,"day 0, clear separation",128372,114172,33330,32071,17031,13808
20170120_10-29-04_AX017_GT0_L016_C3455_32063_d0_650_EDv38TCLv16_nofft.events.csv,"""=""",129126,123303,36137,33323,17428,14279
20170120_10-51-14_AX017_GT0_L016_C3451_23261_d0_650_EDv38TCLv16_nofft.events.csv,"day 0, clear separation",91529,79298,27912,27166,14727,11021
20170120_10-51-14_AX017_GT0_L016_C3451_23261_d0_650_EDv38TCLv16_nofft.events.csv,"""=""",78561,75187,26092,24913,13380,10132
20170120_11-09-05_AX017_GT0_L016_C3462_6634_d0_650_EDv38TCLv16_nofft.events.csv,"day 0, clear separation",228421,192825,77774,71578,35168,33002
20170120_11-09-05_AX017_GT0_L016_C3462_6634_d0_650_EDv38TCLv16_nofft.events.csv,"""=""",224964,202763,87798,72606,35607,33241
20170120_11-24-05_AX017_GT0_L016_C3453_28215_d0_650_EDv38TCLv16_nofft.events.csv,"day 0, clear separation",217207,195602,62820,60791,37461,19980
20170120_11-24-05_AX017_GT0_L016_C3453_28215_d0_650_EDv38TCLv16_nofft.events.csv,"""=""",209251,202163,65952,62737,37534,21351
20170124_11-28-39_AX017_GT0_L016_C3300_6634_d4_650_SP_EDv38TCLv16_nofft.events.csv,"""=""",7632,6784,6708,6162,2869,2909
